session_id,arrival_time,departure_time,battery_capacity_kwh,soc_start,soc_target,energy_needed_kwh,charger_power_kw
S0110,2023-01-05 18:00:00,2023-01-06 08:00:00,50,0.416,0.747,16.539,7.4
S0111,2023-01-05 17:00:00,2023-01-06 08:00:00,50,0.164,0.711,27.386,3.7
S0112,2023-01-05 18:00:00,2023-01-06 08:00:00,75,0.237,0.84,45.241,11.0
S0113,2023-01-05 16:00:00,2023-01-06 08:00:00,82,0.227,0.67,36.332,7.4
S0114,2023-01-05 19:00:00,2023-01-06 07:00:00,75,0.394,0.713,23.887,11.0
S0115,2023-01-05 23:00:00,2023-01-06 08:00:00,50,0.176,0.8,31.196,3.7
S0116,2023-01-05 18:00:00,2023-01-06 09:00:00,60,0.591,0.861,16.162,7.4
S0117,2023-01-05 20:00:00,2023-01-06 04:00:00,40,0.4,0.594,7.78,7.4
S0118,2023-01-05 16:00:00,2023-01-06 08:00:00,60,0.223,0.829,36.369,7.4
S0119,2023-01-05 16:00:00,2023-01-06 08:00:00,40,0.61,0.778,6.71,11.0
S0120,2023-01-05 19:00:00,2023-01-06 06:00:00,82,0.61,0.884,22.43,11.0
S0121,2023-01-05 13:00:00,2023-01-06 07:00:00,75,0.176,0.749,42.975,3.7
S0122,2023-01-05 15:00:00,2023-01-06 08:00:00,75,0.536,0.898,27.127,7.4
S0123,2023-01-05 23:00:00,2023-01-06 08:00:00,50,0.226,0.869,32.184,11.0
S0124,2023-01-05 21:00:00,2023-01-06 06:00:00,75,0.174,0.621,33.522,7.4
S0125,2023-01-05 21:00:00,2023-01-06 04:00:00,75,0.152,0.75,44.886,11.0
S0126,2023-01-05 21:00:00,2023-01-06 06:00:00,75,0.475,0.907,32.355,11.0
S0127,2023-01-05 15:00:00,2023-01-06 08:00:00,50,0.422,0.852,21.493,11.0
S0128,2023-01-05 15:00:00,2023-01-06 08:00:00,50,0.155,0.587,21.565,3.7
S0129,2023-01-05 15:00:00,2023-01-06 07:00:00,60,0.159,0.71,33.065,11.0
S0130,2023-01-05 18:00:00,2023-01-06 09:00:00,60,0.245,0.735,29.372,7.4
S0131,2023-01-06 20:00:00,2023-01-07 05:00:00,50,0.614,0.776,8.11,3.7
S0132,2023-01-06 19:00:00,2023-01-07 09:00:00,40,0.572,0.766,7.779,3.7
S0133,2023-01-06 22:00:00,2023-01-07 08:00:00,60,0.342,0.728,23.148,3.7
S0134,2023-01-06 18:00:00,2023-01-07 06:00:00,50,0.376,0.607,11.55,11.0
S0135,2023-01-06 21:00:00,2023-01-07 05:00:00,50,0.306,0.863,27.871,11.0
S0136,2023-01-06 22:00:00,2023-01-07 07:00:00,82,0.338,0.697,29.425,11.0
S0137,2023-01-06 17:00:00,2023-01-07 09:00:00,75,0.514,0.755,18.033,3.7
S0138,2023-01-06 18:00:00,2023-01-07 07:00:00,82,0.307,0.584,,7.4
S0139,2023-01-06 18:00:00,2023-01-07 11:00:00,40,0.188,0.721,21.286,7.4
S0140,2023-01-06 15:00:00,2023-01-07 09:00:00,60,0.383,0.571,11.265,3.7
S0141,2023-01-06 18:00:00,2023-01-07 07:00:00,75,0.404,0.651,18.464,11.0
S0142,2023-01-06 17:00:00,2023-01-07 05:00:00,75,0.6,0.883,21.214,11.0
S0143,2023-01-06 21:00:00,2023-01-07 09:00:00,60,0.553,0.907,21.236,11.0
S0144,2023-01-06 22:00:00,2023-01-07 08:00:00,60,0.238,0.554,18.983,11.0
S0145,2023-01-06 20:00:00,2023-01-07 07:00:00,50,0.42,0.744,16.2,3.7
S0146,2023-01-06 15:00:00,2023-01-07 06:00:00,40,0.383,0.646,10.529,3.7
S0147,2023-01-06 15:00:00,2023-01-07 08:00:00,75,0.328,0.616,21.549,11.0
S0148,2023-01-06 15:00:00,2023-01-07 08:00:00,60,0.413,0.841,25.679,3.7
S0149,2023-01-06 19:00:00,2023-01-07 08:00:00,75,0.495,0.842,26.014,11.0
S0150,2023-01-06 23:00:00,2023-01-07 06:00:00,60,0.646,0.837,11.46,11.0
S0151,2023-01-06 16:00:00,2023-01-07 07:00:00,40,0.514,0.845,13.259,3.7
S0152,2023-01-06 13:00:00,2023-01-07 07:00:00,75,0.578,0.88,22.618,11.0
S0153,2023-01-06 19:00:00,2023-01-07 09:00:00,40,0.48,0.797,12.687,7.4
S0154,2023-01-06 14:00:00,2023-01-07 06:00:00,75,0.174,0.691,38.775,11.0
S0155,2023-01-06 15:00:00,2023-01-07 06:00:00,50,0.593,0.903,15.522,11.0
S0156,2023-01-06 18:00:00,2023-01-07 09:00:00,50,0.594,0.772,8.916,7.4
S0157,2023-01-06 17:00:00,2023-01-07 05:00:00,82,0.624,0.909,23.381,7.4
S0158,2023-01-06 22:00:00,2023-01-07 08:00:00,60,0.276,0.746,28.215,3.7
S0159,2023-01-06 19:00:00,2023-01-07 09:00:00,82,0.339,0.932,48.579,3.7
S0160,2023-01-07 19:00:00,2023-01-08 11:00:00,60,0.478,0.692,12.824,3.7
S0161,2023-01-07 17:00:00,2023-01-08 09:00:00,40,0.182,0.771,23.555,7.4
S0162,2023-01-07 16:00:00,2023-01-08 08:00:00,40,0.511,0.727,8.667,7.4
S0163,2023-01-07 21:00:00,2023-01-08 09:00:00,82,0.419,0.596,14.504,11.0
S0164,2023-01-07 15:00:00,2023-01-08 07:00:00,60,0.424,0.818,23.681,3.7
S0165,2023-01-07 18:00:00,2023-01-08 12:00:00,75,0.213,0.787,43.017,7.4
S0166,2023-01-07 13:00:00,2023-01-08 06:00:00,50,0.396,0.885,24.425,3.7
S0167,2023-01-07 15:00:00,2023-01-08 09:00:00,40,0.344,0.727,15.326,11.0
S0168,2023-01-07 14:00:00,2023-01-08 10:00:00,40,0.642,0.925,11.326,3.7
S0169,2023-01-07 16:00:00,2023-01-08 09:00:00,60,0.492,0.658,9.968,3.7
S0170,2023-01-07 17:00:00,2023-01-08 10:00:00,82,0.266,0.888,50.978,7.4
S0171,2023-01-07 16:00:00,2023-01-08 07:00:00,50,0.263,0.635,18.594,7.4
S0172,2023-01-07 16:00:00,2023-01-08 09:00:00,82,0.649,0.803,12.607,11.0
S0173,2023-01-07 15:00:00,2023-01-08 08:00:00,82,0.427,0.913,39.854,7.4
S0174,2023-01-07 18:00:00,2023-01-08 07:00:00,82,0.181,0.836,53.723,7.4
S0175,2023-01-07 16:00:00,2023-01-08 10:00:00,82,0.284,0.748,38.018,3.7
S0176,2023-01-07 19:00:00,2023-01-08 11:00:00,50,0.522,0.881,17.936,3.7
S0177,2023-01-07 22:00:00,2023-01-08 10:00:00,75,0.279,0.56,21.075,11.0
S0178,2023-01-07 15:00:00,2023-01-08 09:00:00,82,0.292,0.903,50.098,3.7
S0179,2023-01-07 14:00:00,2023-01-08 08:00:00,82,0.245,0.877,51.868,3.7
S0180,2023-01-07 11:00:00,2023-01-08 11:00:00,40,0.524,0.826,12.075,3.7
S0181,2023-01-07 17:00:00,2023-01-08 08:00:00,75,0.338,0.92,43.659,11.0
S0182,2023-01-07 15:00:00,2023-01-08 09:00:00,50,0.369,0.686,15.853,3.7
S0183,2023-01-07 15:00:00,2023-01-08 11:00:00,60,0.342,0.892,32.985,7.4
S0184,2023-01-07 18:00:00,2023-01-08 09:00:00,75,0.276,0.918,48.173,3.7
S0185,2023-01-07 21:00:00,2023-01-08 06:00:00,75,0.256,0.758,37.644,7.4
S0186,2023-01-07 18:00:00,2023-01-08 09:00:00,60,0.248,0.585,20.221,3.7
S0187,2023-01-07 17:00:00,2023-01-08 08:00:00,40,0.336,0.751,16.602,11.0
S0188,2023-01-07 17:00:00,2023-01-08 06:00:00,60,0.42,0.881,27.638,7.4
S0189,2023-01-07 18:00:00,2023-01-08 10:00:00,50,0.522,0.794,13.597,11.0
S0190,2023-01-07 17:00:00,2023-01-08 12:00:00,50,0.185,0.733,27.396,11.0
S0191,2023-01-07 14:00:00,2023-01-08 09:00:00,75,0.489,0.709,16.541,11.0
S0192,2023-01-07 18:00:00,2023-01-08 09:00:00,60,0.355,0.909,33.248,7.4
S0193,2023-01-08 18:00:00,2023-01-09 10:00:00,50,0.369,0.713,17.224,7.4
S0194,2023-01-08 15:00:00,2023-01-09 07:00:00,50,0.225,0.576,17.567,3.7
S0195,2023-01-08 18:00:00,2023-01-09 06:00:00,40,0.554,0.8,9.816,3.7
S0196,2023-01-08 17:00:00,2023-01-09 10:00:00,75,0.522,0.714,14.416,7.4
S0197,2023-01-08 18:00:00,2023-01-09 07:00:00,75,0.273,0.575,22.66,11.0
S0198,2023-01-08 21:00:00,2023-01-09 11:00:00,82,0.277,0.772,40.632,7.4
S0199,2023-01-08 13:00:00,2023-01-09 10:00:00,60,0.159,0.757,35.879,3.7
S0200,2023-01-08 18:00:00,2023-01-09 06:00:00,75,0.549,0.901,26.339,11.0
S0201,2023-01-08 14:00:00,2023-01-09 08:00:00,50,0.52,0.855,16.751,3.7
S0202,2023-01-08 14:00:00,2023-01-09 10:00:00,75,0.264,0.713,33.672,7.4
S0203,2023-01-08 21:00:00,2023-01-09 10:00:00,82,0.199,0.643,36.372,7.4
S0204,2023-01-08 15:00:00,2023-01-09 09:00:00,40,0.227,0.832,24.206,11.0
S0205,2023-01-08 14:00:00,2023-01-09 08:00:00,40,0.593,0.927,13.345,7.4
S0206,2023-01-08 21:00:00,2023-01-09 07:00:00,50,0.543,0.698,7.722,3.7
S0207,2023-01-08 12:00:00,2023-01-09 09:00:00,40,0.358,0.612,10.147,3.7
S0208,2023-01-08 18:00:00,2023-01-09 09:00:00,50,0.594,0.835,12.046,3.7
S0209,2023-01-08 18:00:00,2023-01-09 10:00:00,60,0.581,0.835,15.271,3.7
S0210,2023-01-08 16:00:00,2023-01-09 10:00:00,60,0.354,0.665,18.661,7.4
S0211,2023-01-08 22:00:00,2023-01-09 10:00:00,75,0.375,0.885,38.247,11.0
S0212,2023-01-08 16:00:00,2023-01-09 10:00:00,82,0.29,0.614,26.541,7.4
S0213,2023-01-08 22:00:00,2023-01-09 11:00:00,75,0.266,0.903,47.728,7.4
S0214,2023-01-08 16:00:00,2023-01-09 06:00:00,75,0.468,0.673,15.351,11.0
S0215,2023-01-08 18:00:00,2023-01-09 08:00:00,82,0.306,0.785,39.27,11.0
S0216,2023-01-09 22:00:00,2023-01-10 04:00:00,75,0.287,0.71,31.71,11.0
S0217,2023-01-09 18:00:00,2023-01-10 09:00:00,82,0.316,0.6,23.247,3.7
S0218,2023-01-09 17:00:00,2023-01-10 04:00:00,40,0.277,0.949,26.878,3.7
S0219,2023-01-09 18:00:00,2023-01-10 06:00:00,82,0.44,0.816,30.84,11.0
S0220,2023-01-09 22:00:00,2023-01-10 07:00:00,40,0.52,0.789,10.779,3.7
S0221,2023-01-09 15:00:00,2023-01-10 07:00:00,40,0.483,0.889,16.231,7.4
S0222,2023-01-09 17:00:00,2023-01-10 06:00:00,50,0.58,0.886,15.316,11.0
S0223,2023-01-09 20:00:00,2023-01-10 08:00:00,50,0.556,0.754,9.911,7.4
S0224,2023-01-09 20:00:00,2023-01-10 06:00:00,82,0.312,0.924,50.222,3.7
S0225,2023-01-09 17:00:00,2023-01-10 05:00:00,60,0.485,0.726,14.455,3.7
S0226,2023-01-09 22:00:00,2023-01-10 08:00:00,50,0.193,0.914,36.054,11.0
S0227,2023-01-09 17:00:00,2023-01-10 08:00:00,82,0.45,0.625,14.362,7.4
S0228,2023-01-09 13:00:00,2023-01-10 05:00:00,60,0.541,0.696,9.302,11.0
S0229,2023-01-09 22:00:00,2023-01-10 07:00:00,40,0.605,0.879,10.95,7.4
S0230,2023-01-09 19:00:00,2023-01-10 07:00:00,50,0.267,0.63,,11.0
S0231,2023-01-09 15:00:00,2023-01-10 06:00:00,40,0.629,0.865,9.441,3.7
S0232,2023-01-09 16:00:00,2023-01-10 09:00:00,50,0.578,0.824,12.326,7.4
S0233,2023-01-09 18:00:00,2023-01-10 05:00:00,50,0.283,0.857,28.705,3.7
S0234,2023-01-09 18:00:00,2023-01-10 06:00:00,50,0.152,0.925,38.611,3.7
S0235,2023-01-09 18:00:00,2023-01-10 09:00:00,60,0.38,0.91,31.801,7.4
S0236,2023-01-09 19:00:00,2023-01-10 08:00:00,40,0.598,0.911,12.514,7.4
S0237,2023-01-09 18:00:00,2023-01-10 09:00:00,40,0.265,0.63,14.599,11.0
S0238,2023-01-09 20:00:00,2023-01-10 08:00:00,40,0.287,0.87,23.337,3.7
S0239,2023-01-09 11:00:00,2023-01-10 06:00:00,82,0.179,0.921,60.819,3.7
S0240,2023-01-09 16:00:00,2023-01-10 06:00:00,75,0.605,0.875,20.23,11.0
S0241,2023-01-09 19:00:00,2023-01-10 07:00:00,60,0.255,0.776,31.273,11.0
S0242,2023-01-09 18:00:00,2023-01-10 06:00:00,75,0.291,0.839,41.092,7.4
S0243,2023-01-09 16:00:00,2023-01-10 07:00:00,75,0.229,0.571,25.644,3.7
S0244,2023-01-09 13:00:00,2023-01-10 07:00:00,82,0.341,0.853,41.944,3.7
S0245,2023-01-09 19:00:00,2023-01-10 07:00:00,82,0.152,0.579,34.981,3.7
S0246,2023-01-09 17:00:00,2023-01-10 08:00:00,82,0.505,0.942,35.81,7.4
S0247,2023-01-09 19:00:00,2023-01-10 07:00:00,75,0.154,0.878,54.316,7.4
S0248,2023-01-09 23:00:00,2023-01-10 08:00:00,60,0.404,0.681,16.571,7.4
S0249,2023-01-09 18:00:00,2023-01-10 08:00:00,75,0.213,0.887,50.534,3.7
S0250,2023-01-09 17:00:00,2023-01-10 09:00:00,75,0.188,0.781,44.476,7.4
S0251,2023-01-10 22:00:00,2023-01-11 06:00:00,40,0.327,0.603,11.048,11.0
S0252,2023-01-10 18:00:00,2023-01-11 05:00:00,40,0.567,0.913,13.836,11.0
S0253,2023-01-10 17:00:00,2023-01-11 09:00:00,82,0.623,0.816,15.785,7.4
S0254,2023-01-10 16:00:00,2023-01-11 08:00:00,75,0.44,0.83,29.267,11.0
S0255,2023-01-10 20:00:00,2023-01-11 08:00:00,40,0.169,0.625,18.212,3.7
S0256,2023-01-10 22:00:00,2023-01-11 06:00:00,82,0.323,0.884,46.027,11.0
S0257,2023-01-10 16:00:00,2023-01-11 06:00:00,60,0.158,0.617,27.537,7.4
S0258,2023-01-10 18:00:00,2023-01-11 05:00:00,82,0.168,0.911,60.91,11.0
S0259,2023-01-10 21:00:00,2023-01-11 06:00:00,75,0.558,0.94,28.638,3.7
S0260,2023-01-10 16:00:00,2023-01-11 09:00:00,60,0.516,0.841,19.499,11.0
S0261,2023-01-10 15:00:00,2023-01-11 08:00:00,75,0.468,0.769,22.558,11.0
S0262,2023-01-10 17:00:00,2023-01-11 08:00:00,75,0.227,0.895,50.126,3.7
S0263,2023-01-10 17:00:00,2023-01-11 09:00:00,40,0.225,0.923,27.91,3.7
S0264,2023-01-10 21:00:00,2023-01-11 08:00:00,40,0.218,0.729,20.451,3.7
S0265,2023-01-10 20:00:00,2023-01-11 07:00:00,40,0.395,0.598,8.107,3.7
S0266,2023-01-10 23:00:00,2023-01-11 04:00:00,50,0.605,0.939,16.678,7.4
S0267,2023-01-10 17:00:00,2023-01-11 04:00:00,82,0.216,0.79,47.14,11.0
S0268,2023-01-10 15:00:00,2023-01-11 06:00:00,50,0.241,0.696,22.728,11.0
S0269,2023-01-10 16:00:00,2023-01-11 07:00:00,50,0.553,0.717,8.22,11.0
S0270,2023-01-10 20:00:00,2023-01-11 10:00:00,40,0.154,0.653,19.945,11.0
S0271,2023-01-10 13:00:00,2023-01-11 06:00:00,60,0.159,0.812,39.145,11.0
S0272,2023-01-10 18:00:00,2023-01-11 07:00:00,75,0.376,0.567,14.333,7.4
S0273,2023-01-10 21:00:00,2023-01-11 07:00:00,50,0.477,0.716,11.947,7.4
S0274,2023-01-10 18:00:00,2023-01-11 08:00:00,75,0.306,0.744,32.854,3.7
S0275,2023-01-10 19:00:00,2023-01-11 07:00:00,75,0.51,0.926,31.211,7.4
S0276,2023-01-10 16:00:00,2023-01-11 08:00:00,82,0.604,0.912,25.225,3.7
S0277,2023-01-10 19:00:00,2023-01-11 06:00:00,75,0.542,0.843,22.543,7.4
S0278,2023-01-10 16:00:00,2023-01-11 07:00:00,40,0.389,0.619,9.184,7.4
S0279,2023-01-10 17:00:00,2023-01-11 04:00:00,50,0.609,0.797,9.387,11.0
S0280,2023-01-11 20:00:00,2023-01-12 08:00:00,60,0.216,0.86,38.615,7.4
S0281,2023-01-11 18:00:00,2023-01-12 07:00:00,82,0.189,0.672,39.68,11.0
S0282,2023-01-11 17:00:00,2023-01-12 08:00:00,60,0.409,0.74,19.829,3.7
S0283,2023-01-11 22:00:00,2023-01-12 08:00:00,50,0.582,0.841,12.939,11.0
S0284,2023-01-11 18:00:00,2023-01-12 07:00:00,60,0.379,0.655,16.55,3.7
S0285,2023-01-11 21:00:00,2023-01-12 07:00:00,60,0.554,0.792,14.263,7.4
S0286,2023-01-11 18:00:00,2023-01-12 07:00:00,50,0.255,0.751,24.766,3.7
S0287,2023-01-11 18:00:00,2023-01-12 04:00:00,40,0.611,0.873,10.477,3.7
S0288,2023-01-11 17:00:00,2023-01-12 06:00:00,60,0.207,0.853,38.787,3.7
S0289,2023-01-11 19:00:00,2023-01-12 06:00:00,75,0.216,0.856,48.069,7.4
